Engineering Stress	Engineering Strain
2487415.475	0.189173054
2492343.146	0.189477798
2501121.11	0.189782543
2502576.955	0.190085462
2475715.728	0.190390207
2489433.137	0.190694951
2483954.584	0.190999696
2490859.546	0.191302616
2494338.099	0.191605839
2497650.967	0.19191028
2506325.484	0.192215024
2491010.093	0.192519769
2502120.269	0.192822689
2480555.929	0.193127433
2481111.859	0.193428832
2508678.722	0.193733577
2482367.536	0.194038321
2495138.772	0.194343066
2492911.69	0.194645985
2490970.563	0.194948905
2497759.462	0.19525365
2500181.665	0.195559915
2486753.574	0.195863139
2486780.488	0.196167883
2498787.216	0.196470803
2497291.842	0.196773723
2499069.807	0.197078467
2496797.309	0.197383212
2489156.434	0.197687956
2484370.059	0.197990876
2495406.224	0.1982941
2492325.484	0.198600365
2485581.161	0.198903285
2491275.021	0.19920955
2480914.214	0.199512774
2501815.812	0.199815693
2493744.323	0.200120438
2488777.965	0.200425182
2482219.512	0.200729927
2494636.669	0.201034367
2483458.368	0.201337591
2492762.826	0.201640511
2493393.608	0.201945255
2495962.153	0.202251521
2475450.799	0.202554745
2507873.003	0.202859185
2494931.034	0.203162409
2499472.666	0.203467153
2491393.608	0.203771594
2493190.917	0.204076338
2498337.258	0.204379562
2504058.032	0.204682482
2500506.308	0.204987226
2500122.792	0.205291971
2494594.617	0.205596411
2504414.634	0.205901156
2490570.227	0.20620438
2480590.412	0.20650882
2503393.608	0.206813564
2495205.214	0.207118309
2490788.057	0.207423054
2486024.39	0.207725973
2495361.648	0.208030718
2493005.046	0.208333637
2497333.894	0.208638382
2505237.174	0.208943127
2485114.382	0.209246046
2488548.36	0.20954927
2497109.336	0.20985219
2492661.901	0.210156934
2510730.025	0.2104632
2498120.269	0.210764599
2502631.623	0.211067822
2501039.529	0.211372263
2479955.425	0.211677007
2505878.049	0.211981752
2496018.503	0.212286496
2504441.548	0.212589416
2491846.089	0.21289264
2501645.08	0.213198905
2498994.954	0.21350365
2490854.5	0.21380809
2505099.243	0.214111314
2496241.379	0.214414234
2496312.868	0.214718978
2497734.23	0.215023723
2489452.481	0.215329988
2495460.05	0.215632908
2501902.439	0.215936131
2503428.091	0.216239051
2501205.214	0.216543796
2503484.441	0.21684854
2478116.064	0.217153285
2493690.496	0.217456204
2502784.693	0.217759124
2498176.619	0.218065693
2497138.772	0.218370134
2498134.567	0.218674878
2493007.569	0.218978102
2484024.39	0.219281022
2488380.151	0.219585766
2499783.852	0.219890511
2497598.823	0.220194951
2489269.975	0.220499696
2494928.511	0.22080444
2497862.91	0.22110736
2492338.099	0.221413625
2501689.655	0.221716849
2507968.881	0.222021594
2485865.433	0.222324513
2499947.014	0.222627737
2513237.174	0.222932178
2506523.129	0.223236922
2509101.766	0.223541667
2506075.694	0.223844586
2493460.05	0.22414781
2503227.923	0.22445073
2495764.508	0.224755474
2487235.492	0.225060219
2489814.13	0.225364964
2497170.732	0.225667883
2503467.62	0.225970803
2507437.342	0.226275547
2505791.421	0.226580292
2492248.949	0.226885036
2497878.049	0.227187956
2499630.782	0.22749118
2502723.297	0.227797445
2490130.362	0.22810219
2500278.385	0.22840663
2493930.193	0.228709854
2503111.018	0.229014599
2490231.287	0.229317518
2493920.101	0.229622263
2498246.426	0.229927007
2505954.584	0.230231448
2495146.341	0.230534672
2506495.374	0.230837591
2506083.263	0.231142336
2504849.453	0.23144708
2498962.994	0.231751825
2499275.021	0.232054745
2500923.465	0.232357664
2499610.597	0.232662409
2525471.825	0.232968674
2462931.876	0.233273418
2451557.611	0.233578163
2559159.798	0.233881083
2701608.915	0.234184307
